blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,noticeDate,Lat,Lon
3321 011,3920 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,4/1/09,39.33366141,-76.66252669
1288 091,509 OLDTOWN MALL,OLDTOWN,12,EASTERN,3/25/10,39.29612368,-76.60370112
4747A022,2854 OAKLEY AVE,CYLBURN,6,NORTHERN,9/25/14,39.34905267,-76.66846704
2304 007,2315 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,10/10/08,39.30927308,-76.65460988
6288 047,3437 E LOMBARD ST,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,6/18/11,39.29118043,-76.56827678
6825 078,1228 ANGLESEA ST,MEDFORD,1,SOUTHEASTERN,10/30/13,39.27960879,-76.54599891
4306A086E,4025 ROSECREST AVE,GLEN,5,NORTHWESTERN,5/29/15,39.35341497,-76.69737648
2183 015,327 STINSON ST,SHIPLEY HILL,9,SOUTHWESTERN,9/17/09,39.283533,-76.65842331
0711 036,539 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,3/30/04,39.28129612,-76.6462539
1606 044,818 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,8/1/08,39.30023528,-76.58548382
1127 059,1628 E OLIVER ST,OLIVER,12,EASTERN,1/15/15,39.30762848,-76.59552398
2394 004,2806 MOSHER ST,MOSHER,9,WESTERN,3/16/06,39.29950576,-76.66384776
4011A012,2021 ROBB ST,EAST BALTIMORE MIDWAY,12,EASTERN,5/10/07,39.31350258,-76.60276864
1157 054,1221 VALLEY ST,JOHNSTON SQUARE,12,EASTERN,11/19/13,39.3046432,-76.60479297
2153 021,41 N WHEELER AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,4/9/15,39.28893675,-76.6541883
1454 004,2406 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,12/4/12,39.31126142,-76.58419351
1145 024,1316 AISQUITH ST,OLIVER,12,EASTERN,7/11/08,39.30549183,-76.60248611
3817 050,2208 GUILFORD AVE,BARCLAY,12,NORTHERN,1/22/15,39.3148563,-76.61290062
1109 090,1703 N BETHEL ST,OLIVER,12,EASTERN,2/8/06,39.3099295,-76.59585987
3403 052,2614 WOODBROOK AVE,PENN NORTH,7,WESTERN,8/16/10,39.31349688,-76.64509536
1621 041,708 N COLLINGTON AVE,MIDDLE EAST,13,EASTERN,11/21/14,39.29919272,-76.58693522
2425 005,3001 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,10/8/10,39.30785528,-76.66761602
0339 032,519 LAURENS ST,UPTON,11,CENTRAL,8/17/06,39.30534075,-76.63386931
1125 077,1516 N SPRING ST,OLIVER,12,EASTERN,3/12/10,39.30786985,-76.59916919
3959 050,1620 E 31ST ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,3/20/14,39.3262859,-76.59263685
1464 030,1716 N MILTON AVE,BROADWAY EAST,13,EASTERN,3/19/07,39.31045242,-76.58326664
4581 006,5010 DENMORE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,4/24/07,39.34678965,-76.67550576
1478 043,1512 N WOLFE ST,BROADWAY EAST,12,EASTERN,8/22/07,39.30793557,-76.59171799
0293 050,704 CUMBERLAND ST,SANDTOWN-WINCHESTER,7,WESTERN,4/25/12,39.30866511,-76.64288768
2482B043,2907 ARUNAH AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,9/2/11,39.29496853,-76.66559437
0327 014,1826 DIVISION ST,UPTON,11,CENTRAL,7/6/15,39.30541243,-76.63522678
4580 035,3306 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,1/24/13,39.34726788,-76.67686834
3312 043,4023 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,9/16/05,39.33471839,-76.66436312
4005 051,1113 E 20TH ST,EAST BALTIMORE MIDWAY,12,EASTERN,6/19/08,39.3125916,-76.60340875
0055C043,1144 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,9/2/10,39.30214867,-76.63772588
0298 062,500 SANFORD PL,DRUID HEIGHTS,7,CENTRAL,12/19/14,39.30959847,-76.64059491
1237 073,731 AJAX ST,OLDTOWN,12,EASTERN,9/19/07,39.29856834,-76.60456761
1474 015K,1622 N MILTON AVE,BROADWAY EAST,13,EASTERN,1/31/13,39.30952054,-76.58320874
0050 053,1122 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,2/19/13,39.30168077,-76.64710903
3190A011,4408 DAYTONA AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,5/21/09,39.33826905,-76.6717181
0271 101,307 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,5/20/08,39.28381144,-76.65236968
4587 073,5000 QUEENSBERRY AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/20/11,39.34880339,-76.67126017
0293 013,1726 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,2/28/08,39.30915602,-76.64349225
0207 052,4 S MONROE ST,BOYD-BOOTH,9,SOUTHWESTERN,1/29/15,39.28753223,-76.64714351
4130 022,1641 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,9/2/15,39.32223328,-76.5938224
4137 118,1517 E 29TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,12/3/13,39.32439037,-76.59486467
4168 007,2025 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,12/21/06,39.31386585,-76.59022265
0095 088,725 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,6/4/09,39.29718228,-76.64806215
4165 081,1643 NORMAL AVE,DARLEY PARK,14,EASTERN,7/23/07,39.31561674,-76.59463662
4063 021,2404 LOCH RAVEN ROAD,EAST BALTIMORE MIDWAY,12,EASTERN,3/25/11,39.31689209,-76.60866837
2489 042,601 N LOUDON AVE,EDMONDSON VILLAGE,8,SOUTHWESTERN,8/20/15,39.29424501,-76.68234504
5387 361,5511 HILLEN ROAD,LOCH RAVEN,3,NORTHEASTERN,4/25/13,39.35690647,-76.58203261
1121 027,1549 ENSOR ST,OLIVER,12,EASTERN,7/26/11,39.30806375,-76.60369701
2170A014,2526 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,3/31/08,39.28849432,-76.65732935
3230 030,2312 AVALON AVE,PARKVIEW/WOODBROOK,7,WESTERN,6/14/11,39.31547364,-76.64529486
6299B008,212 S HIGHLAND AVE,HIGHLANDTOWN,1,SOUTHEASTERN,6/10/15,39.28992299,-76.56954363
1608 044,816 N MILTON AVE,MILTON-MONTFORD,13,EASTERN,7/20/11,39.30051093,-76.58265312
0062 019,1036 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,10/7/08,39.30087399,-76.64192009
1536 074,1211 N PATTERSON PARK AVE,BROADWAY EAST,13,EASTERN,2/15/08,39.30495989,-76.58524429
7179 009,5102 CURTIS AVE,CURTIS BAY,10,SOUTHERN,10/18/07,39.22031511,-76.58665295
0013A008,1602 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,5/28/08,39.30701506,-76.64742169
3844 001,348 E 27TH ST,HARWOOD,12,NORTHERN,1/4/13,39.32106918,-76.61127293
0192 092,1903 W FAIRMOUNT AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,6/23/11,39.28871345,-76.64752873
0563 007,413 N HOWARD ST,DOWNTOWN,11,CENTRAL,1/25/06,39.29441816,-76.61931764
2401A013,2725 W NORTH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,7/7/15,39.30897364,-76.66181258
3845 052,425 WHITRIDGE AVE,HARWOOD,12,NORTHERN,2/13/12,39.32138686,-76.61038272
3936 093,2738 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,6/11/10,39.32309253,-76.59062395
0162 049,1900 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,8/1/14,39.29146329,-76.64758406
0272 034,329 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,10/28/09,39.28337941,-76.6509405
3454 010,2307 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,2/20/12,39.3138997,-76.63106137
3414 029,1378 W NORTH AVE,PENN NORTH,7,WESTERN,7/5/12,39.31039424,-76.64059347
1455 035,1663 N MILTON AVE,BEREA,13,EASTERN,8/12/11,39.31028265,-76.58257057
8230 002,4221 FERNHILL AVE,WEST ARLINGTON,6,NORTHWESTERN,1/16/15,39.33736775,-76.69131203
3211 091,2008 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,1/2/15,39.31144925,-76.65059706
2472 005,2937 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,6/22/10,39.29690715,-76.66640474
2425 001A,3012 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,3/5/13,39.30728442,-76.66798515
7056 005A,520 MAUDE AVE,BROOKLYN,10,SOUTHERN,1/25/13,39.23894509,-76.60207273
0767 072,1108 S CAREY ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,4/14/15,39.28107512,-76.63627293
6048 015,5430 FORCE ROAD,FRANKFORD,2,NORTHEASTERN,2/4/14,39.32152499,-76.53885309
1102 052,1830 N BROADWAY,OLIVER,12,EASTERN,11/1/05,39.31148511,-76.59547565
1658 052,2702 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,4/24/09,39.29703522,-76.57887293
0275 072,1843 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,1/29/08,39.28403984,-76.64625308
2175 084,2526 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,9/24/08,39.2863192,-76.65722722
2382 035,2706 PROSPECT ST,MOSHER,9,WESTERN,7/28/06,39.29881476,-76.6622508
0064 014,1326 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,5/1/07,39.30035148,-76.63957147
2939 014,3817 SEQUOIA AVE,CALLAWAY-GARRISON,6,NORTHWESTERN,12/19/14,39.331924,-76.68032563
2455 009,3219 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,6/23/10,39.30417007,-76.67127723
4605A014,4937 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,6/26/09,39.34522182,-76.6743732
3973C024,723 SPRINGFIELD AVE,PEN LUCY,4,NORTHERN,10/19/07,39.34093045,-76.60559932
0007 057,1734 APPLETON ST,EASTERWOOD,7,WESTERN,9/18/15,39.30856758,-76.64921158
0258 045,218 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,9/17/08,39.28435866,-76.64869102
0049 005,1108 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,4/23/10,39.30115336,-76.64790727
0313 034,2049 PENNSYLVANIA AVE,UPTON,11,CENTRAL,4/5/07,39.30670044,-76.63817116
5928 046,4237 SHELDON AVE,BELAIR-EDISON,2,NORTHEASTERN,5/18/12,39.32790426,-76.56407008
1416 009,201 S CENTRAL AVE,WASHINGTON HILL,12,SOUTHEASTERN,10/31/12,39.28864486,-76.59894392
2169 033,2707 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,5/19/15,39.28813925,-76.65957589
0239 021,215 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,6/30/14,39.28431836,-76.65179557
3341 003,3805 PARK HEIGHTS AVE,GREENSPRING,6,NORTHERN,6/26/08,39.33238773,-76.6605747
2243C039A,45 S MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,3/14/13,39.28563419,-76.67485774
