1, Cedar, Human Related, 2003, 10, San Diego, 273246, 2820, 15
2, Rush, Lightning, 2012, 08, Lassen, 271911, 0, 0
3, Rim, Human Related, 2013, 08, Tuolumne, 257314, 112, 0
4, Zaca, Human Related, 2007, 07, Santa Barbara, 240207, 1, 0
5, Matilija, Undetermined, 1932, 09, Ventura, 220000, 0, 0
6, Witch, Powerlines, 2007, 10, San Diego, 197990, 1650, 2
7, Klamath Theater Complex, Lightning, 2008, 06, Siskiyou, 192038, 0, 2 
8, Marble Cone, Lightning, 1977, 07, Monterey, 177866, 0, 0
9, Laguna, Powerlines, 1970, 9, San Diego, 175425, 382, 5
10, Basin Complex, Lightning, 2008, 06, Monterey, 162818, 58, 0
11, Day Fire, Human Related, 2006, 09, Ventura, 162702, 11, 0
12, Station Fire, Human Related, 2009, 08, Los Angeles, 160557, 209, 2
13, MCNally, Human Related, 2002, 07, Tulare, 150696, 17, 0
14, Stanislaus Complex, Lightning, 1987, 08, Tuolumne, 145980, 28, 1
15, Big Bar Complex, Lightning, 1999, 08, Trinity, 140948, 0, 0
16, happy Camp Complex, Lightning, 2014, 08, Siskiyou, 134056, 6, 0
17, Campbell Complex, Powerlines, 1990, 08, Tehama, 125892, 27, 0
18, Rough, Lightning, 2015, 07, Fresno, 119069, 4, 0
19, Wheeler, Arson, 1985, 07, Ventura, 118000, 26, 0
20, simi, Under INvestigation, 2003, 10, Ventura, 108204, 300, 0
